id,source,type,target_scope,public_evidence,upstream_or_dependencies,status,notes
SV-TECH-PKHEX,https://github.com/kwsch/PKHeX,save-structure,SV,"SAV9SV; SaveBlockAccessor9SV; raids; BCAT; outbreaks; coordinates; gifts; DLC blocks",PKHeX canonical,checked,"Current Gen9/SV substructure tree is separately inventoried in pkhex-save-structure-inventory.json"
SV-TECH-PKNX,https://github.com/kwsch/pkNX,data-dumper-parser,SV,"game data dumping; parsers; container support",canonical,checked,"README currently assumes SV 4.0.0"
SV-TECH-TERAFINDER,https://github.com/Manu098vm/Tera-Finder,raid-outbreak-tool,SV,"view/edit raids and outbreaks; Poké Portal import; RNG; rewards; game flags","PKHeX; pkNX; SysBot.NET; RaidCrawler; sv-live-map",checked,"Credits are valuable provenance map for shared research"
SV-TECH-RAIDCRAWLER,https://github.com/LegoFigure11/RaidCrawler,raid-runtime-tool,SV,"sys-botbase raid viewer; RAM/search/reward/map lineage",SysBot.NET,checked,"Upstream of several later raid tools"
SV-TECH-EVENTINJECTOR,https://github.com/Insektaure/Event-Raid-Injector,event-save-tool,SV,"historical raid/mass-outbreak event save structures; seven-star flags","PKHeX/Event data ecosystem",checked,"Targets SV 4.0.0; cross-check events with official notices"
SV-TECH-SVLIVEMAP,https://github.com/Lincoln-LM/sv-live-map,raid-map-runtime,SV,"raid coordinates; map formulas; save/RAM logic",independent/upstream-for-others,checked,"Downstream projects reuse portions; do not count copies as independent confirmation"
SV-TECH-PKTERARAID,https://github.com/Insektaure/pkTeraRaid,raid-map-save,SV,"Paldea/Kitakami/Blueberry raid maps and coordinates","Tera-Finder; RaidCrawler; PKHeX data lineage",checked,"Track coordinate provenance"
SV-TECH-POKEDOCS,https://github.com/pkZukan/PokeDocs,schemas-hashes,SV,"SV/Flatbuffers and SV/Hashlists; animation/customization/field/filesystem/model/pml/render/resources/scene; Audio/FileSystem/Lua hash lists",canonical-documentation,checked,"Current published tree file/SHA inventory is complete in pokedocs-inventory.json"
SV-TECH-GFTOOL,https://github.com/pkZukan/gftool,trinity-container-tooling,SV,"TRPFS/TRPFD; Trinity serializers; model/scene tooling",PokeDocs lineage,checked,"Per-format applicability must be documented"
SV-TECH-KMEDITOR,https://github.com/KotMatrosk1n/KM-Editor,game-data-models,SV,"Pokémon/moves/items/trainers/encounters/gifts/trades/raids/shops/placement/models/audio",multiple-public-sources,checked,"Use code/models as technical evidence under license"
SV-TECH-SVTEXT,https://github.com/Pokemon-Project-com/sv-text,text-datamine,SV,"Japanese kana/kanji; Korean; English; Chinese; European language common/script text",public-extracted-data,checked,"Compare languages from Japanese origin; review redistribution rights separately"
SV-TECH-COMPASS-RAMBLINGS,https://github.com/aria-zivar/Compass_ScVi_Ramblings,scene-research,SV,"world/scene; world/obj_template; .trscn/.trsot; nested FlatBuffers; fixed symbol placement; world/data and Lua relationships","PokeDocs schemas; Compass modding research",checked,"Documents practical scene decomposition and reports ~6300 world/data conversions and 200000+ decomposed scene files for one version; treat quantitative claims as source-reported until independently reproduced"
SV-TECH-LEARNSETS,https://github.com/Fortelle/pokemon-learnsets,versioned-dataset,SV,"learnsets for SV 1.0.0; 1.0.1; 1.2.0; 2.0.1; 3.0.0",public-curated-data,checked,"High-value historical snapshots; provenance and per-file generation method still require deep review"
